BIN,Address,Borough,Management Company,Owner Name,Loss of Service % (30d),Recent Complaints (30d),AI Headline
2004292,601 EAST 167 STREET,Bronx,BOSTON-167,BOSTON-167,0.00%,0,Elevator Reliability Concerns Persist at 601 EAST 167 STREET Amid Chronic Outages and Active Complaint
2130513,1318 SOUTHERN BOULEVARD,Bronx,1318 SOUTHERN DEVELOPMENT LLC,1318 SOUTHERN DEVELOPMENT LLC,0.00%,0,Elevator System at 1318 Southern Boulevard Requires Immediate Proactive Intervention
2093923,304 EAST 156 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Reliability at 304 EAST 156 STREET Poses High Risk to Tenant Services
2005788,1029 EAST  163 STREET,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Executive Summary: Proactive Elevator Monitoring Essential for Building 1029 EAST 163 STREET Tenant Safety
2126638,1420 STEBBINS AVENUE,Bronx,STEBBINS OWNER LLC,STEBBINS OWNER LLC,0.00%,0,Elevator Reliability Concerns at 1420 Stebbins Avenue Warrant Immediate Proactive Monitoring
2000941,321 EAST 149 STREET,Bronx,VOTMESH REALTY INC,VOTMESH REALTY INC,0.00%,0,Executive Summary: Elevator Service Reliability at 321 EAST 149 STREET
2025354,1202 STRATFORD AVENUE,Bronx,WEST MORRISON REALTY LLC,WEST MORRISON REALTY LLC,0.00%,0,Elevator System at 1202 Stratford Avenue Faces Chronic Issues and Requires Proactive Intervention
2129804,414 EAST 152 STREET,Bronx,MELROSE MANOR LLC,MELROSE MANOR LLC,0.00%,0,Urgent Elevator Safety Concerns at 414 EAST 152 STREET Require Immediate Intervention
2006077,949 FAILE STREET,Bronx,FAILE STREET ASSOCIATES,FAILE STREET ASSOCIATES,0.00%,0,Urgent Action Required: Recurring Elevator Failures and Escalating Tenant Concern at 949 FAILE STREET
2103191,383 EAST 157 STREET,Bronx,RODRIGUEZ JR JOHNNY D,RODRIGUEZ JR JOHNNY D,0.00%,0,Executive Summary: High Risk of Elevator Service Disruption at 383 EAST 157 STREET
2023352,1464 WATSON AVENUE,Bronx,"WATSON DEVELOPMENT, LLC","WATSON DEVELOPMENT, LLC",0.00%,0,Executive Summary: Urgent Elevator Maintenance and Monitoring Required for 1464 WATSON AVENUE Following Recurring Failures
2092905,1460 BRONX RIVER AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Service at 1460 Bronx River Avenue: Proactive Maintenance Strategy Recommended Following Isolated Disruption
2116869,770 EAST 166 STREET,Bronx,NYC HOUSING DEVELOPMENT CORP.,NYC HOUSING DEVELOPMENT CORP.,0.00%,0,Chronic Elevator Malfunctions Plague 770 EAST 166 STREET: Urgent Intervention Required
2000859,391 EAST 149 STREET,Bronx,MELROSE LLC,MELROSE LLC,0.00%,0,Elevator System at 391 EAST 149 STREET Requires Proactive Intervention Due to Recurring Malfunctions
2120241,665 CAULDWELL AVENUE,Bronx,665 CAULDWELL LLC,665 CAULDWELL LLC,0.00%,0,Escalating Elevator Reliability Concerns and Community Frustration at 665 Cauldwell Avenue
2119722,853 MACY PLACE,Bronx,853 MACY PLACE OWNERS CORPORATION,853 MACY PLACE OWNERS CORPORATION,0.00%,0,Elevator System at 853 MACY PLACE: Urgent Intervention Required Amid Persistent Outages and Tenant Frustration
2010253,1385 STEBBINS AVENUE,Bronx,WINTHROP REALTY CORP,WINTHROP REALTY CORP,0.00%,0,Elevator Performance Review: 1385 STEBBINS AVENUE - Moderate Risk with Current Community Concern
2005752,887 SOUTHERN BOULEVARD,Bronx,E.C.HSING DEVLP FUNDCO,E.C.HSING DEVLP FUNDCO,0.00%,0,Executive Summary: Urgent Elevator Status at 887 Southern Boulevard
2010571,1490 SOUTHERN BOULEVARD,Bronx,1490 SOUTHERN HOUSING DEVELOPMENT FUND C ORPORATION,1490 SOUTHERN HOUSING DEVELOPMENT FUND C ORPORATION,0.00%,0,Elevator Performance at 1490 Southern Boulevard Shows Moderate Risk Due to Recurring Annual Issues and Tenant Frustration
2005090,651 SOUTHERN BOULEVARD,Bronx,WILLIS SOUTHERN HOUSING DEVELOPMENT FUND  CORPORATI,WILLIS SOUTHERN HOUSING DEVELOPMENT FUND  CORPORATI,0.00%,0,Elevator Service Concerns and Strategic Response for 651 Southern Boulevard
2001874,303 EAST 151 STREET,Bronx,NYC DEPARTMENT OF EDUCATION,NYC DEPARTMENT OF EDUCATION,0.00%,0,Moderate Risk Identified: Proactive Monitoring Recommended for Elevator Service at 303 EAST 151 STREET
2001893,327 EAST  158 STREET,Bronx,CORTLANDT ASSOCIATES LLC,CORTLANDT ASSOCIATES LLC,0.00%,0,Executive Summary: Critical Elevator Outage at 327 EAST 158 STREET
2010803,1717 BRYANT AVENUE,Bronx,"LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.","LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.",0.00%,0,Elevator Service Review: Recurring Malfunctions at 1717 Bryant Avenue Require Proactive Monitoring
2091966,735 EAST 163 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Proactive Elevator Oversight: Ensuring Long-Term Reliability at 735 EAST 163 STREET
2113376,1033 BOSTON ROAD,Bronx,1039 BOSTON ROAD HOU,1039 BOSTON ROAD HOU,0.00%,0,Executive Summary: Urgent Intervention Required for Elevator Reliability at 1033 Boston Road
2090439,979 ALDUS STREET,Bronx,NYS MENTAL HEALTH,NYS MENTAL HEALTH,0.00%,0,Critical Elevator Outage at 979 Aldus Street Demands Immediate Intervention and Proactive Monitoring
2005540,775 FOX STREET,Bronx,"SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.","SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.",0.28%,1,Elevator Reliability at 775 FOX STREET: Chronic Issues and Active Incident Demand Immediate Attention
2092009,766 FOX STREET,Bronx,"SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.","SOUTHERN BLVD I HOUSING DEV. FUND COMPAN Y, INC.",0.00%,0,Executive Summary: Elevator Status and Strategic Recommendations for 766 FOX STREET
2088143,370 EAST  153 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Concerns Persist at 370 EAST 153 STREET: Recurring Summer Issues Prompt Call for Proactive Monitoring
2025131,1518 EAST 172 STREET,Bronx,"CACERES, EMMA","CACERES, EMMA",0.00%,0,Executive Summary: Proactive Oversight Recommended for Elevator Services at 1518 EAST 172 STREET
2112796,951 PROSPECT AVENUE,Bronx,PSSWSF HOUSING COMPANY LP,PSSWSF HOUSING COMPANY LP,0.00%,0,Elevator Performance and Tenant Advocacy Concerns at 951 Prospect Avenue Identified
2005627,960 EAST  163 STREET,Bronx,PRC SIMPSON STREET LLC,PRC SIMPSON STREET LLC,0.00%,0,Elevator Concerns at 960 East 163 Street: Sporadic Issues and Unorganized Tenant Frustration Warrant Proactive Monitoring
2010609,1705 HOE AVENUE,Bronx,"CROTONA VI HOUSING DEVELOPMENT FUND COMP ANY, INC.","CROTONA VI HOUSING DEVELOPMENT FUND COMP ANY, INC.",0.00%,0,Executive Summary: Recurring Elevator Reliability Issues at 1705 Hoe Avenue Warrant Proactive Intervention
2091971,730 EAST  166 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Recurring Elevator Concerns at 730 EAST 166 STREET Necessitate Proactive Monitoring and Maintenance Strategy
2010678,1693 VYSE AVENUE,Bronx,MONTEREY HOUSING DEVELOPMENT FUND CORPOR ATION,MONTEREY HOUSING DEVELOPMENT FUND CORPOR ATION,0.00%,0,Elevator Status Review: Building 1693 VYSE AVENUE - Moderate Risk with Proactive Strategy Recommended
2028130,1500 NOBLE AVENUE,Bronx,"NOBLE TOWER, LLC","NOBLE TOWER, LLC",0.00%,0,Elevator at 1500 Noble Avenue Requires Urgent Intervention Amidst Persistent Outages and Safety Concerns
2126584,370 EAST 162 STREET,Bronx,COURTLANDT CORNERS II ASSOCIATES LP,COURTLANDT CORNERS II ASSOCIATES LP,0.28%,1,Monitoring Elevator Performance: Action Plan for Minor Interruptions at 370 EAST 162 STREET
2006596,1206 SPOFFORD AVENUE,Bronx,HUNTS POINT HSNG DEVFUN,HUNTS POINT HSNG DEVFUN,0.00%,0,Executive Summary: Critical Elevator Status and Advocacy Report for 1206 Spofford Avenue
2010933,1670 LONGFELLOW AVENUE,Bronx,1670 LONGFELLOW AVENU,1670 LONGFELLOW AVENU,0.00%,0,Elevator System at 1670 LONGFELLOW AVENUE Requires Urgent Intervention Amidst Chronic Failures and High Community Frustration
2113777,1211 SOUTHERN BOULEVARD,Bronx,1211 SOUTHERN BLVD LLC,1211 SOUTHERN BLVD LLC,0.00%,0,Proactive Monitoring and System Overhaul Recommended for 1211 Southern Boulevard's Elevators
2127337,960 SIMPSON STREET,Bronx,PRC WESTCHESTER AVENUE LLC,PRC WESTCHESTER AVENUE LLC,0.00%,0,Executive Summary: Urgent Elevator Service Disruption at 960 SIMPSON STREET Requires Immediate Intervention
2006279,1075 LONGFELLOW AVENUE,Bronx,PRC WESTCHESTER AVENUE LLC,PRC WESTCHESTER AVENUE LLC,0.00%,0,Urgent Intervention Required for Chronic Elevator Failures and Certification Lapses at 1075 Longfellow Avenue
2091973,760 EAST 166 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Proactive Elevator Service Assurance for 760 East 166 Street: Addressing Recurrent Issues and Community Concerns
2098324,413 EAST 152 STREET,Bronx,413 EAST 152ND STREET LLC,413 EAST 152ND STREET LLC,0.00%,0,Elevator Service Review: 413 East 152 Street - Recurring Frustration Amidst Historically Isolated Incidents
2006007,960 SOUTHERN BOULEVARD,Bronx,SOUTHERN BLVD REALTY,SOUTHERN BLVD REALTY,0.00%,0,Executive Summary: Urgent Elevator Outage and Historical Incident at 960 SOUTHERN BOULEVARD Demands Proactive Strategy
2001167,2936 3 AVENUE,Bronx,"SIG REALTY, INC","SIG REALTY, INC",0.00%,0,Executive Summary: Elevator Status and Advocacy Recommendations for 2936 3 Avenue
2001386,701 ELTON AVENUE,Bronx,701 ELTON RESIDENCE LLC,701 ELTON RESIDENCE LLC,0.28%,1,Elevator System at 701 ELTON AVENUE Presents High Risk Due to Persistent Failures and Tenant Frustration
2091961,1000 TRINITY AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Service at 1000 Trinity Avenue Requires Urgent Proactive Intervention
2095480,1217 STRATFORD AVENUE,Bronx,STRATFORD 26 LLC,STRATFORD 26 LLC,0.00%,0,Executive Summary: Elevator Status and Proactive Strategy for 1217 STRATFORD AVENUE
2010611,1687 HOE AVENUE,Bronx,"LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.","LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.",0.00%,0,Executive Summary: Proactive Elevator Monitoring for Tenant Assurance at 1687 Hoe Avenue
2025384,1240 MORRISON AVENUE,Bronx,"MORRISON TOWER, LLC","MORRISON TOWER, LLC",0.00%,0,Urgent Action Required: Persistent Elevator Malfunctions at 1240 Morrison Avenue Jeopardize Tenant Safety and Quality of Life
2010569,1462 SOUTHERN BOULEVARD,Bronx,SSJL 1462 SOUTHERN BOULEVARD LLC,SSJL 1462 SOUTHERN BOULEVARD LLC,0.00%,0,Elevator Safety Concerns Intensify at 1462 Southern Boulevard: Urgent Action Recommended for Recurring Critical Failures
2005846,860 SOUTHERN BOULEVARD,Bronx,"858-862 ASSOCIATES, LLC","858-862 ASSOCIATES, LLC",0.00%,0,Elevator Service at 860 Southern Boulevard Requires Urgent Proactive Monitoring and Maintenance Amidst Current Outage and Growing Tenant Concerns
2010800,1680 VYSE AVENUE,Bronx,"LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.","LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.",0.00%,0,Urgent Tenant Concerns Highlight Potential Elevator Service Instability at 1680 Vyse Avenue
2001788,390 EAST 161 STREET,Bronx,ROSE 871 LLC,ROSE 871 LLC,0.00%,0,"Elevator Reliability at 390 EAST 161 STREET: Single Resolved Incident, Proactive Monitoring Recommended"
2005392,1038 ROGERS PLACE,Bronx,"GRAND & ROGERS HOUSING DEVELOPMENT FUND  CO., INC.","GRAND & ROGERS HOUSING DEVELOPMENT FUND  CO., INC.",0.00%,0,Elevator System at 1038 ROGERS PLACE Requires Immediate Proactive Intervention Due to Recurring Failures
2006157,1203 WESTCHESTER AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Executive Summary: Elevator Status and Advocacy for 1203 WESTCHESTER AVENUE
2129169,1000 KELLY STREET,Bronx,KELLY RESIDENCES LLC,KELLY RESIDENCES LLC,0.00%,0,Proactive Inquiry Recommended for 1000 Kelly Street Following Recent Elevator Outage and Minimal Historical Data
2120143,1005 INTERVALE AVENUE,Bronx,"1005 INTERVALE AVENUE, LLC","1005 INTERVALE AVENUE, LLC",0.00%,0,Elevator Outage at 1005 Intervale Avenue Requires Immediate Intervention Despite No Prior History
2117645,922 EAST 169 STREET,Bronx,TIFFANY STREET ASSOCIATES LP,TIFFANY STREET ASSOCIATES LP,0.00%,0,Elevator System at 922 EAST 169 STREET: Moderate Risk with Proactive Monitoring Recommended
2091217,300 EAST  151 STREET,Bronx,MAGENTA INTERNATIONAL REALTY CORP,MAGENTA INTERNATIONAL REALTY CORP,0.00%,0,Elevator Status for 300 EAST 151 STREET: Proactive Monitoring Recommended Amidst Minimal Current Concerns
2001038,475 GRAND CONCOURSE,Bronx,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,0.00%,0,Elevator Service Review: 475 Grand Concourse - Addressing Urgent Reports and Ensuring Code Compliance
2027475,1350 MANOR AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Urgent Elevator Service Intervention Required at 1350 Manor Avenue Amid Chronic Breakdowns and High Tenant Frustration
2091959,905 TINTON AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Proactive Elevator Maintenance Monitoring for 905 Tinton Avenue
2010799,1668 VYSE AVENUE,Bronx,"LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.","LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.",0.00%,0,Elevator Service Assessment: 1668 Vyse Avenue Exhibits Nominal Current Risk
2005884,932 SOUTHERN BOULEVARD,Bronx,932 SOUTHERN BOULEVARD REALTY LLC,932 SOUTHERN BOULEVARD REALTY LLC,0.00%,0,Executive Summary: Elevator Outage and Proactive Monitoring for 932 Southern Boulevard
2006048,1131 WEST FARMS ROAD,Bronx,ROSE ELLEN SMITH MBD HOUSING DEVELOPMENT  FUND CO.,ROSE ELLEN SMITH MBD HOUSING DEVELOPMENT  FUND CO.,0.00%,0,Elevator Status Review: Building 1131 WEST FARMS ROAD - Urgent Report Noted Amidst Clear Historical Record
2006532,737 HUNTS POINT AVENUE,Bronx,HUNTS POINT HSNG DEVFUN,HUNTS POINT HSNG DEVFUN,0.00%,0,Elevator Service at 737 Hunts Point Avenue: Urgent Tenant Concerns Amidst Chronic Unreliability
2005754,923 BARRETTO STREET,Bronx,ERMA CAVA HOUSING DEVELOPMENT FUND COMPA NY INC,ERMA CAVA HOUSING DEVELOPMENT FUND COMPA NY INC,0.00%,0,Elevators at 923 BARRETTO STREET Require Urgent Proactive Intervention Due to Chronic Malfunctions and Safety Concerns
2006507,741 COSTER STREET,Bronx,PHOENIX ESTATES HDFC,PHOENIX ESTATES HDFC,0.00%,0,Immediate Elevator Outage at 741 Coster Street Prompts High-Risk Assessment and Proactive Monitoring Recommendation
2010324,810 RITTER PLACE,Bronx,BRONX 810 RITTER PLACE L.P.,BRONX 810 RITTER PLACE L.P.,0.00%,0,"Elevator Status at 810 RITTER PLACE: Moderate Risk, Proactive Monitoring and Maintenance Recommended"
2005787,953 SOUTHERN BOULEVARD,Bronx,953 SB LLC,953 SB LLC,0.00%,0,Executive Summary: Elevator Status and Proactive Monitoring for 953 Southern Boulevard
2000851,384 EAST  149 STREET,Bronx,GOTHAM 149 REALTY LLC,GOTHAM 149 REALTY LLC,0.00%,0,Elevator Service at 384 East 149 Street Requires Proactive Monitoring Amidst Historical Complaint and Persistent Tenant Frustration
2091968,980 TRINITY AVENUE,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Service at 980 Trinity Avenue Requires Immediate Monitoring Amidst Current Concerns
2005762,914 SIMPSON STREET,Bronx,BK SIMPSON DAWSON HOUSING DEVELOPMENT FU ND,BK SIMPSON DAWSON HOUSING DEVELOPMENT FU ND,0.00%,0,Executive Summary: Elevator Status for 914 Simpson Street
2096296,757 KELLY STREET,Bronx,DELICES MONA,DELICES MONA,0.00%,0,Urgent Attention Required: Critical Elevator Service Disruption at 757 Kelly Street
2129270,960 PROSPECT AVENUE,Bronx,THESSALONIA MANOR HOUSING DEVELOPMENT FU ND CORP.,THESSALONIA MANOR HOUSING DEVELOPMENT FU ND CORP.,0.00%,0,Elevator System at 960 Prospect Avenue Requires Immediate Attention Due to Recurrent Failures and High Tenant Frustration
2128391,909 BECK STREET,Bronx,TIFFANY BECK HOUSING DEVELOPMENT FUND CO RPORATION,TIFFANY BECK HOUSING DEVELOPMENT FUND CO RPORATION,0.00%,0,Executive Summary: Elevator Status and Proactive Monitoring for 909 BECK STREET
2005450,909 KELLY STREET,Bronx,SEBCO/BANANA KELLY ASSOC,SEBCO/BANANA KELLY ASSOC,0.00%,0,Executive Summary: Recurring Elevator Issues at 909 Kelly Street Require Proactive Intervention
2091155,281 EAST 149 STREET,Bronx,EAST 149TH STREET PARTNERS LLC,EAST 149TH STREET PARTNERS LLC,0.00%,0,Initial Assessment for 281 EAST 149 STREET Reveals Nominal Elevator Risk with Limited Current Data
2092908,1609 EAST 174 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Service at 1609 EAST 174 STREET Requires Urgent Intervention Due to Recurring Outages and Tenant Frustration
2120355,830 FOX STREET,Bronx,"830 FOX STREET HDFC, INC","830 FOX STREET HDFC, INC",0.00%,0,"830 FOX STREET: Chronic Elevator Malfunctions Fuel High Tenant Frustration, Warranting Proactive Intervention"
2001084,414 GERARD AVENUE,Bronx,414 GERARD OWNER LLC,414 GERARD OWNER LLC,0.00%,0,Elevator Service Monitoring Recommended for 414 Gerard Avenue Amidst Emerging Concerns
2103446,1343 CLINTON AVENUE,Bronx,"MORILLO, JOSE O","MORILLO, JOSE O",0.00%,0,Executive Summary: Building 1343 Clinton Avenue Elevator Status
2127027,655 MORRIS AVENUE,Bronx,MORRIS AVENUE HOUSING DEVELOPMENT FUND C OMPANY INC,MORRIS AVENUE HOUSING DEVELOPMENT FUND C OMPANY INC,0.00%,0,Elevator System at 655 Morris Avenue Requires Proactive Monitoring Amidst Persistent 6M Violations and Active Complaint
2000133,556 BROOK AVENUE,Bronx,NYC ADMINISTRATION FOR CHILDRENS SERVICES,NYC ADMINISTRATION FOR CHILDRENS SERVICES,0.00%,0,Elevator Reliability Concerns and Urgent Reports at 556 BROOK AVENUE Require Immediate Attention
2127131,855 COURTLANDT AVENUE,Bronx,UNAVAILABLE OWNER,UNAVAILABLE OWNER,0.00%,0,Elevator Service at 855 Courtlandt Avenue Plagued by Recurrent Issues and High Tenant Frustration
2006461,855 BRYANT AVENUE,Bronx,"GAD-SAL REALTY, L.L.C.","GAD-SAL REALTY, L.L.C.",0.00%,0,Urgent Elevator Service Disruption at 855 Bryant Avenue Requires Immediate Action
2099667,670 MELROSE AVENUE,Bronx,"RODRIGUEZ, ROBERT","RODRIGUEZ, ROBERT",0.00%,0,Executive Summary: Elevator Status and Recommendations for 670 Melrose Avenue
2091974,765 EAST 165 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Service in Building 765 EAST 165 STREET Facing High Risk Due to Recurring Critical Failures and Tenant Frustration
2128780,1151 HOE AVENUE,Bronx,1149 & 1151 HOE LLC,1149 & 1151 HOE LLC,0.00%,0,Executive Summary: Elevator Reliability and Resident Concerns at 1151 HOE AVENUE (BIN 2128780)
2023433,1051 ELDER AVENUE,Bronx,REDEL HOLDING CORP,REDEL HOLDING CORP,0.00%,0,Elevator Status Review: 1051 ELDER AVENUE - Emerging Concerns Require Proactive Monitoring
2093920,281 EAST  153 STREET,Bronx,NYC HOUSING AUTHORITY,NYC HOUSING AUTHORITY,0.00%,0,Elevator Service Interruption at 281 EAST 153 STREET Requires Proactive Monitoring and Tenant Engagement
2128891,915 DAWSON STREET,Bronx,915 DAWSON STREET LLC,915 DAWSON STREET LLC,0.00%,0,Persistent Elevator Issues Plaguing 915 Dawson Street Tenants
2097049,437 MORRIS AVENUE,Bronx,NYC HEALTH AND HOSPITALS CORPORATION,NYC HEALTH AND HOSPITALS CORPORATION,0.00%,0,Executive Summary: Elevated Risk from Chronic Elevator Malfunctions at 437 Morris Avenue
2001393,409 EAST 154 STREET,Bronx,"PUERTO RICAN ORG TO MOTIV.,ENLTN+SERVE A DDICTS INC","PUERTO RICAN ORG TO MOTIV.,ENLTN+SERVE A DDICTS INC",0.00%,0,Executive Summary: Elevator Outage at 409 EAST 154 STREET
2129288,545 EAST 166 STREET,Bronx,545 E. 166TH STREET HDFC,545 E. 166TH STREET HDFC,0.00%,0,Elevator Safety and Reliability Concerns at 545 East 166 Street Require Immediate Oversight
2129171,985 BRUCKNER BOULEVARD,Bronx,985 BRUCKNER BOULEVARD HOUSING DEV. FUND  CORP.,985 BRUCKNER BOULEVARD HOUSING DEV. FUND  CORP.,0.00%,0,Urgent Action Required: Persistent Elevator Malfunctions at 985 Bruckner Boulevard Demand Proactive Intervention
2097105,370 EAST  151 STREET,Bronx,IMMACULATE CON R C CH,IMMACULATE CON R C CH,0.00%,0,Executive Summary: Urgent Elevator Reliability Concerns at 370 EAST 151 STREET
2129142,370 EAST 158 STREET,Bronx,LB CAPITAL LLC,LB CAPITAL LLC,0.00%,0,Elevator Outage and Proactive Monitoring Required at 370 East 158 Street
2010344,750 JENNINGS STREET,Bronx,NYC DEPARTMENT OF EDUCATION,NYC DEPARTMENT OF EDUCATION,0.00%,0,Elevator Safety and Tenant Frustration at 750 Jennings Street: A Call for Proactive Monitoring
2100759,1357 SOUTHERN BOULEVARD,Bronx,DON LW LLC,DON LW LLC,0.00%,0,Elevator Service at 1357 Southern Boulevard Plagued by Chronic Breakdowns and Community Frustration Amidst Limited Official Incidents
2128935,700 MANIDA STREET,Bronx,"THE CITY OF NEW YORK, ACTING BY AND THRO UGH ITS DE","THE CITY OF NEW YORK, ACTING BY AND THRO UGH ITS DE",0.00%,0,Executive Summary: Elevator Status and Recommendations for 700 Manida Street
2129729,1763 WEST FARMS ROAD,Bronx,1759-63 W. FARMS RD LLC,1759-63 W. FARMS RD LLC,0.00%,0,Critical Elevator Malfunctions at 1763 WEST FARMS ROAD Demand Immediate Intervention
2101319,155 FOOD CENTER DRIVE,Bronx,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,0.00%,0,Elevator Service Review: Building 155 Food Center Drive - Isolated Event and Current Outage Require Proactive Monitoring
2098575,985 PROSPECT AVENUE,Bronx,PLAZA SURVEYS LTD,PLAZA SURVEYS LTD,0.00%,0,Executive Summary: Elevator Outage at 985 Prospect Avenue
2090825,950 AVE ST JOHNS,Bronx,GURU HOLDING LLC,GURU HOLDING LLC,0.00%,0,Elevator Status Review for 950 AVE ST JOHNS: Moderate Risk with Call for Proactive Monitoring
2010275,850 JENNINGS STREET,Bronx,850 JENNINGS AVENUE LP,850 JENNINGS AVENUE LP,0.00%,0,Executive Summary: Elevator Status and Action Plan for 850 JENNINGS STREET
2116903,367 EAST 154 STREET,Bronx,"NEW BRONX, LLC","NEW BRONX, LLC",0.00%,0,Executive Summary: Elevator Performance and Tenant Concerns at 367 EAST 154 STREET
2025317,1201 STRATFORD AVENUE,Bronx,CHERA BLDG PROPERTIES,CHERA BLDG PROPERTIES,0.00%,0,"Elevator Service at 1201 Stratford Avenue: Stable Operations, Proactive Monitoring Advised"
2128549,245 EAST 149 STREET,Bronx,"HP MICHELANGELO HOUSING COMPANY, INC.","HP MICHELANGELO HOUSING COMPANY, INC.",0.00%,0,Elevator Service at 245 East 149th Street: High Risk Due to Historical Failures and Ongoing Tenant Concerns
2109600,1420 MINFORD PLACE,Bronx,MINFORD GARDENS HSNG DEV FUN CO INC,MINFORD GARDENS HSNG DEV FUN CO INC,0.00%,0,"Elevator Status at 1420 Minford Place: Resident Frustration High Amidst Urgent Reports, Proactive Strategy Recommended"
2004260,1122 FRANKLIN AVENUE,Bronx,NYC DEPARTMENT OF HOMELESS SERVICES,NYC DEPARTMENT OF HOMELESS SERVICES,0.00%,0,Elevator System at 1122 FRANKLIN AVENUE Exhibits High Risk Due to Biennial Failures
2092012,900 FOX STREET,Bronx,PRC SIMPSON STREET LLC,PRC SIMPSON STREET LLC,0.00%,0,Executive Summary: Elevator Advocacy Report for 900 FOX STREET
2005764,1018 EAST  163 STREET,Bronx,1018 E 163RD STREET HOUSING DEV FUND COR PORATION,1018 E 163RD STREET HOUSING DEV FUND COR PORATION,0.00%,0,Executive Summary: Proactive Elevator Oversight Recommended for 1018 EAST 163 STREET Following Urgent Report
2128550,255 EAST 149 STREET,Bronx,"HP MICHELANGELO HOUSING COMPANY, INC.","HP MICHELANGELO HOUSING COMPANY, INC.",0.00%,0,Elevator Service at 255 EAST 149 STREET Requires Proactive Monitoring Following Recent Outage
2129610,960 KELLY STREET,Bronx,960 KELLY LLC,960 KELLY LLC,0.00%,0,Elevator System at 960 Kelly Street: Current Low Risk with Proactive Monitoring Recommended
2004178,1064 FRANKLIN AVENUE,Bronx,BRONX ADDICTION SERVICES INTEGRATED CONC EPTS /ETC,BRONX ADDICTION SERVICES INTEGRATED CONC EPTS /ETC,0.00%,0,Elevator Concerns Mount at 1064 Franklin Avenue: Urgent Action Recommended
2005914,1161 EAST 156 STREET,Bronx,B&R ESTATES ENTERPRISE REALTY LLC,B&R ESTATES ENTERPRISE REALTY LLC,0.00%,0,Elevator Outage at 1161 EAST 156 STREET Requires Immediate Attention Amidst Low Community Engagement
2005638,901 FOX STREET,Bronx,PRC SIMPSON STREET LLC,PRC SIMPSON STREET LLC,0.00%,0,Elevator Reliability Concerns Emerge at 901 FOX STREET Amidst Resident Frustration and Urgent Reports
2025365,1258 STRATFORD AVENUE,Bronx,STRATFORD PROPERTIES ONE LLC,STRATFORD PROPERTIES ONE LLC,0.00%,0,Proactive Monitoring Advised for Elevator Reliability at 1258 Stratford Avenue
2129267,425 EAST 161 STREET,Bronx,MELROSE COMMONS SUPPORTIVE HOUSING DEVEL OPMENT,MELROSE COMMONS SUPPORTIVE HOUSING DEVEL OPMENT,0.00%,0,"Urgent Elevator Outage and Historical Incident Identified at 425 EAST 161 STREET, Requiring Immediate Attention"
2125340,1054 SIMPSON STREET,Bronx,URBAN HEALTH PLAN INC,URBAN HEALTH PLAN INC,0.00%,0,Elevator Service Assessment for 1054 Simpson Street: Emerging Concerns Warrant Proactive Monitoring
2005939,1201 LAFAYETTE AVENUE,Bronx,1201-31 LAFAYETTE GROUND OWNER LLC,1201-31 LAFAYETTE GROUND OWNER LLC,0.00%,0,Executive Summary: Urgent Elevator Malfunctions and Tenant Frustration at 1201 LAFAYETTE AVENUE Require Immediate Intervention
